Object,Property,Value,False
Object1,Property1,187624,"[578072, 572409, 684020, 864960, 557219, 955003, 988045, 518690, 546483, 829062, 888523, 915218, 615068, 557622, 748796, 982686, 948517, 859667, 751275, 581073]"
Object1,Property2,224546,"[651553, 878885, 625249, 782443, 939105, 854093, 621868, 573962, 618243, 873327, 705593, 944835, 835875, 730704, 630163, 788541, 665261, 684829, 884536, 839203]"
Object1,Property3,396265,"[524438, 603730, 910565, 588245, 716213, 596985, 600401, 755059, 882594, 641988, 948740, 640206, 767432, 911351, 938549, 893674, 642330, 899650, 906546, 535705]"
Object1,Property4,373418,"[956307, 536143, 820641, 996561, 668847, 512479, 596825, 780315, 568030, 890607, 635269, 648650, 760641, 939159, 798461, 922439, 891988, 960218, 775428, 585146]"
Object1,Property5,210163,"[809108, 635049, 688158, 917234, 910901, 683768, 830304, 743630, 761330, 728741, 781121, 881381, 539283, 704889, 560272, 570574, 759041, 946113, 557164, 649566]"
Object1,Property6,258911,"[581837, 573643, 892221, 815627, 894382, 964511, 551386, 696669, 935558, 511423, 753943, 776042, 697974, 786678, 661237, 827020, 779986, 596922, 575389, 826010]"
Object1,Property7,449544,"[542026, 763771, 824070, 995834, 703540, 795933, 792546, 630611, 581458, 942031, 998744, 935731, 824363, 909582, 678189, 834922, 771931, 589233, 918873, 860892]"
Object1,Property8,349860,"[575765, 989434, 582338, 761900, 545740, 929992, 995017, 673055, 758886, 600783, 793790, 532886, 908264, 563118, 818362, 590622, 904090, 510179, 719206, 681216]"
Object1,Property9,434363,"[641366, 514243, 912183, 713168, 608451, 598266, 790277, 583099, 992051, 805825, 665022, 964944, 529635, 926292, 641490, 572167, 674535, 910002, 719446, 776108]"
Object1,Property10,468825,"[833286, 535544, 902865, 522276, 918850, 747223, 771292, 816632, 517554, 797974, 921569, 773154, 968611, 718945, 676149, 745410, 552698, 602977, 705502, 536658]"
Object2,Property1,415861,"[851133, 801783, 636276, 820799, 707334, 666988, 712329, 517397, 730916, 953191, 845784, 745416, 505747, 854927, 978690, 503454, 914772, 897888, 517696, 855137]"
Object2,Property2,390812,"[739037, 999288, 831014, 977302, 778180, 544128, 896579, 601040, 583896, 888053, 503725, 965367, 912876, 685944, 670459, 815097, 580796, 857573, 900562, 853573]"
Object2,Property3,356441,"[665077, 713320, 745854, 895942, 503604, 577793, 582746, 858516, 572571, 753971, 743872, 638507, 929721, 834591, 935316, 822224, 826272, 862117, 724148, 549071]"
Object2,Property4,484579,"[586104, 971678, 594328, 763944, 632587, 518110, 985930, 790393, 923961, 829717, 955910, 732316, 679152, 871805, 930142, 716597, 771673, 865552, 946010, 539913]"
Object2,Property5,309872,"[605973, 850921, 994528, 887625, 880002, 779974, 745236, 822809, 789338, 822759, 812889, 875247, 817835, 575559, 985200, 815910, 689511, 636085, 761234, 757861]"
Object2,Property6,238681,"[533911, 973580, 988989, 753832, 949302, 840363, 848744, 585671, 993432, 512921, 837360, 582555, 502124, 906689, 695502, 660493, 608534, 618384, 833238, 526040]"
Object2,Property7,469578,"[701831, 834077, 704973, 801165, 736264, 909624, 749505, 964703, 976639, 600389, 818578, 879033, 725117, 997296, 989061, 935548, 845899, 514787, 696656, 981182]"
Object2,Property8,190774,"[813329, 994245, 939098, 944461, 862698, 535895, 557109, 642424, 875733, 773548, 676403, 556648, 519530, 746156, 910057, 811052, 806987, 748311, 776225, 901889]"
Object2,Property9,154232,"[674651, 564829, 835122, 627489, 776451, 836612, 766465, 840785, 912440, 801046, 824543, 965363, 805072, 685275, 740138, 914047, 851423, 700079, 607600, 932614]"
Object2,Property10,413948,"[775246, 711263, 550446, 993428, 553649, 917304, 658392, 743155, 610195, 617733, 574887, 723370, 968568, 641462, 864999, 514856, 730029, 804376, 666518, 937699]"
Object3,Property1,159766,"[793950, 580644, 703153, 617094, 518835, 774147, 908456, 619736, 761898, 592834, 824066, 588270, 882544, 619699, 870461, 662178, 743159, 930169, 771552, 603915]"
Object3,Property2,420498,"[750590, 608020, 764320, 878946, 939831, 821260, 619515, 968698, 910340, 555245, 675216, 589565, 850897, 851989, 794040, 501059, 731648, 542475, 974437, 778087]"
Object3,Property3,323244,"[966138, 526967, 826250, 644303, 811930, 939377, 958066, 699098, 998819, 844602, 774876, 966427, 852184, 995677, 578233, 866389, 534339, 892192, 873130, 677730]"
Object3,Property4,314886,"[717552, 664126, 816281, 891356, 928932, 857253, 778997, 710891, 513317, 945581, 971398, 524691, 617074, 672712, 610516, 706281, 672430, 944341, 760544, 757750]"
Object3,Property5,271622,"[836507, 737246, 838729, 675409, 698111, 564510, 882908, 597128, 582079, 630754, 661526, 589254, 651051, 913725, 720398, 757847, 937491, 728441, 800135, 770256]"
Object3,Property6,343935,"[970739, 952819, 745247, 599627, 654569, 605335, 950620, 730660, 809085, 795250, 962190, 635939, 776110, 682108, 820613, 510515, 931765, 972838, 870986, 855353]"
Object3,Property7,156226,"[502084, 995469, 879714, 838960, 723205, 993356, 845636, 737852, 524437, 755899, 710252, 801685, 573803, 903710, 895788, 814709, 755047, 861898, 544840, 893265]"
Object3,Property8,479999,"[536556, 976282, 516440, 966418, 879370, 828774, 679584, 847827, 906476, 725590, 754221, 953703, 798579, 870438, 873065, 837036, 854521, 715437, 524558, 507216]"
Object3,Property9,347255,"[897020, 624508, 809169, 612419, 827508, 903281, 746063, 540743, 739342, 758041, 590672, 781760, 563199, 615253, 961386, 639609, 924892, 664616, 935418, 889818]"
Object3,Property10,100904,"[569779, 617717, 945084, 911402, 993741, 925885, 813305, 618562, 715523, 809364, 924363, 740959, 714074, 796015, 997941, 731843, 648305, 924454, 950639, 653693]"
Object4,Property1,483523,"[683964, 935294, 751254, 858873, 725003, 866340, 582096, 771489, 694971, 853326, 528598, 736751, 611194, 639902, 603870, 713127, 913579, 892549, 515615, 767753]"
Object4,Property2,292860,"[822215, 972010, 628540, 644315, 924473, 869523, 507331, 672414, 586473, 599048, 807441, 903367, 711872, 704727, 968093, 604919, 784990, 915844, 587090, 826993]"
Object4,Property3,104937,"[901682, 946120, 619421, 630570, 568793, 858568, 608266, 677031, 814776, 524053, 740389, 710664, 716811, 750504, 512256, 838734, 819325, 734425, 669623, 780528]"
Object4,Property4,216278,"[688187, 885341, 566933, 588578, 844869, 873592, 721294, 617167, 687699, 827978, 743286, 967693, 571754, 643996, 626412, 556017, 952326, 888788, 565569, 746340]"
Object4,Property5,109280,"[968144, 553744, 524786, 628606, 640961, 773018, 934847, 642266, 647907, 946540, 797557, 693021, 696848, 814228, 893366, 975018, 602802, 959871, 585577, 893941]"
Object4,Property6,387260,"[972939, 781914, 746014, 528567, 766895, 557839, 805063, 649048, 886046, 923580, 789166, 847997, 934487, 718411, 655712, 660786, 606474, 872519, 894063, 683757]"
Object4,Property7,171275,"[511622, 730588, 583766, 632636, 503903, 853512, 873462, 859457, 830213, 950857, 822999, 633678, 870541, 911056, 539069, 844815, 922590, 875694, 548263, 652989]"
Object4,Property8,358096,"[699254, 947936, 603536, 796343, 554461, 897371, 921584, 536593, 851179, 511330, 563946, 929111, 558980, 903900, 925009, 880974, 754389, 783482, 557463, 669863]"
