ID,Object,Property,Value,Source
0.0,Object1,Property10,260485,Source1
0.0,Object1,Property5,309368,Source1
0.0,Object1,Property6,356272,Source1
0.0,Object1,Property3,239490,Source1
0.0,Object1,Property2,449385,Source1
0.0,Object2,Property10,240507,Source1
0.0,Object2,Property5,393910,Source1
0.0,Object2,Property6,301627,Source1
0.0,Object2,Property3,300994,Source1
0.0,Object2,Property2,288653,Source1
0.0,Object3,Property10,466513,Source1
0.0,Object3,Property5,228620,Source1
0.0,Object3,Property6,269376,Source1
0.0,Object3,Property3,421549,Source1
0.0,Object3,Property2,247282,Source1
0.0,Object4,Property10,423133,Source1
0.0,Object4,Property5,147111,Source1
0.0,Object4,Property6,270403,Source1
0.0,Object4,Property3,195399,Source1
0.0,Object4,Property2,463396,Source1
0.0,Object5,Property10,252721,Source1
0.0,Object5,Property5,179464,Source1
0.0,Object5,Property6,432822,Source1
0.0,Object5,Property3,112944,Source1
0.0,Object5,Property2,213137,Source1
0.0,Object6,Property10,379963,Source1
0.0,Object6,Property5,408185,Source1
0.0,Object6,Property6,408850,Source1
0.0,Object6,Property3,343530,Source1
0.0,Object6,Property2,219726,Source1
0.0,Object7,Property10,183708,Source1
0.0,Object7,Property5,287862,Source1
0.0,Object7,Property6,156407,Source1
0.0,Object7,Property3,341102,Source1
0.0,Object7,Property2,483990,Source1
0.0,Object8,Property10,213064,Source1
0.0,Object8,Property5,476841,Source1
0.0,Object8,Property6,458462,Source1
0.0,Object8,Property3,481113,Source1
0.0,Object8,Property2,204659,Source1
0.0,Object9,Property10,149927,Source1
0.0,Object9,Property5,349150,Source1
0.0,Object9,Property6,208226,Source1
0.0,Object9,Property3,223869,Source1
0.0,Object9,Property2,307028,Source1
0.0,Object10,Property10,322370,Source1
0.0,Object10,Property5,361140,Source1
0.0,Object10,Property6,234139,Source1
0.0,Object10,Property3,252811,Source1
0.0,Object10,Property2,179932,Source1
0.0,Object11,Property10,480279,Source1
0.0,Object11,Property5,254197,Source1
0.0,Object11,Property6,160259,Source1
0.0,Object11,Property3,363830,Source1
0.0,Object11,Property2,285280,Source1
