Object,Property,Value,False
Object1,Property1,457751,"[591678, 941140, 728462, 567474, 626074, 908518, 607843, 707287, 637287, 995695, 867083, 806799, 960945, 502496, 945034, 865920, 504147, 922634, 711277, 828638]"
Object1,Property2,449385,"[639846, 524432, 968674, 894459, 681039, 706151, 959928, 600258, 895152, 739672, 659699, 679605, 912017, 643133, 653164, 919430, 607716, 967675, 737497, 869427]"
Object1,Property3,239490,"[649734, 881983, 768035, 655770, 893054, 598126, 772491, 954441, 718465, 707142, 924409, 883194, 630535, 927886, 840257, 685189, 950033, 902361, 738415, 573597]"
Object1,Property4,178630,"[705506, 884008, 718006, 538189, 787390, 769870, 914803, 904369, 675946, 867599, 782143, 921540, 737152, 701455, 734883, 907513, 967024, 838364, 981736, 521859]"
Object1,Property5,309368,"[585587, 597406, 896187, 912047, 604758, 575111, 801544, 809653, 898933, 846356, 702623, 942665, 831820, 967532, 930847, 871278, 692831, 781312, 548800, 613096]"
Object1,Property6,356272,"[818728, 800959, 796251, 599975, 794397, 632346, 626211, 797377, 883541, 635586, 535860, 771700, 545752, 575714, 760092, 763163, 606788, 783103, 966537, 544743]"
Object1,Property7,345060,"[862936, 868755, 899928, 766771, 985928, 556395, 992955, 847670, 664372, 525853, 565260, 859569, 842173, 775043, 848862, 512051, 970132, 920750, 858738, 946863]"
Object1,Property8,495931,"[684599, 555858, 722502, 738956, 726415, 697096, 944869, 705102, 538501, 725488, 763431, 716066, 756859, 670733, 505609, 703664, 874425, 555249, 698464, 583511]"
Object1,Property9,294480,"[502105, 676909, 625013, 589361, 621897, 677457, 922781, 578063, 830822, 514704, 741234, 704369, 774587, 827168, 578584, 770903, 603171, 670417, 582854, 522576]"
Object1,Property10,260485,"[778225, 679006, 654613, 684374, 937641, 813817, 669455, 625048, 890955, 543282, 787018, 575407, 956341, 730365, 647023, 672788, 999936, 525325, 961761, 809676]"
Object2,Property1,404443,"[756337, 699584, 950045, 989289, 810542, 689510, 661979, 719775, 837592, 663383, 513782, 833163, 801553, 738076, 883317, 672635, 604502, 838151, 543421, 932568]"
Object2,Property2,288653,"[767909, 858699, 952200, 813837, 807068, 958754, 809596, 594487, 678036, 543118, 839642, 597360, 767144, 636408, 943089, 677737, 784032, 627945, 793414, 770978]"
Object2,Property3,300994,"[674071, 876584, 904291, 904546, 752835, 655157, 883914, 961448, 886180, 504353, 513664, 963958, 963574, 757994, 706945, 796601, 592303, 665425, 897708, 534515]"
Object2,Property4,456731,"[622656, 805739, 864692, 937167, 920932, 667157, 842961, 756256, 605370, 781961, 557391, 825081, 906158, 817216, 668222, 954519, 934850, 702569, 942410, 648338]"
Object2,Property5,393910,"[758089, 901306, 854067, 686085, 839232, 608681, 842860, 514777, 665570, 996134, 842851, 528212, 717226, 902516, 791812, 816744, 624174, 727071, 586401, 838068]"
Object2,Property6,301627,"[861809, 789117, 970876, 877853, 789675, 988532, 875564, 814383, 560878, 747569, 889958, 611547, 587594, 752984, 703207, 738140, 714641, 777918, 620033, 845036]"
Object2,Property7,378320,"[526046, 952765, 507012, 900942, 710491, 837585, 978083, 879810, 526343, 642003, 589217, 709386, 778641, 811789, 800445, 970430, 727727, 997887, 515005, 520348]"
Object2,Property8,165173,"[738522, 760104, 500967, 905417, 940940, 586870, 920395, 762590, 845921, 611148, 538794, 650935, 713005, 547488, 655982, 718563, 603699, 578487, 904276, 995970]"
Object2,Property9,455352,"[854346, 759781, 739799, 873902, 886885, 697411, 998042, 738359, 899639, 513433, 610571, 735726, 585100, 782418, 540995, 523707, 586514, 740390, 631935, 794743]"
Object2,Property10,240507,"[869666, 798958, 697513, 539828, 991168, 545293, 901047, 561977, 597067, 628553, 745552, 807493, 807110, 992063, 615301, 597348, 607669, 695779, 932861, 781900]"
Object3,Property1,301729,"[531297, 965235, 529103, 633536, 864645, 666382, 980074, 681310, 992290, 548027, 686750, 596550, 563474, 932947, 618227, 736999, 530177, 569367, 897732, 871559]"
Object3,Property2,247282,"[513988, 985419, 630615, 886872, 875270, 874842, 568270, 549887, 649468, 985466, 815303, 969341, 637302, 743044, 758142, 533199, 632509, 525504, 881492, 743721]"
