Object,Property,Value
Object1,Property1,187624
Object1,Property2,224546
Object1,Property3,396265
Object1,Property4,373418
Object1,Property5,210163
Object1,Property6,258911
Object1,Property7,449544
Object1,Property8,349860
Object1,Property9,434363
Object1,Property10,468825
Object2,Property1,415861
Object2,Property2,390812
Object2,Property3,356441
Object2,Property4,484579
Object2,Property5,309872
Object2,Property6,238681
Object2,Property7,469578
Object2,Property8,190774
Object2,Property9,154232
Object2,Property10,413948
Object3,Property1,159766
Object3,Property2,420498
Object3,Property3,323244
Object3,Property4,314886
Object3,Property5,271622
Object3,Property6,343935
Object3,Property7,156226
Object3,Property8,479999
Object3,Property9,347255
Object3,Property10,100904
Object4,Property1,483523
Object4,Property2,292860
Object4,Property3,104937
Object4,Property4,216278
Object4,Property5,109280
Object4,Property6,387260
Object4,Property7,171275
Object4,Property8,358096
Object4,Property9,197208
Object4,Property10,304111
Object5,Property1,241663
Object5,Property2,360765
Object5,Property3,378486
Object5,Property4,486127
Object5,Property5,452900
Object5,Property6,275907
Object5,Property7,313140
Object5,Property8,129177
Object5,Property9,268056
Object5,Property10,360060
Object6,Property1,288006
Object6,Property2,174959
Object6,Property3,264427
Object6,Property4,269184
Object6,Property5,276951
Object6,Property6,111726
Object6,Property7,452709
Object6,Property8,353626
Object6,Property9,383105
Object6,Property10,143932
Object7,Property1,245003
Object7,Property2,369479
Object7,Property3,388794
Object7,Property4,190630
Object7,Property5,114428
Object7,Property6,445477
Object7,Property7,497812
Object7,Property8,220058
Object7,Property9,214285
Object7,Property10,334576
Object8,Property1,181629
Object8,Property2,326965
Object8,Property3,121403
Object8,Property4,118393
Object8,Property5,220013
Object8,Property6,283265
Object8,Property7,126338
Object8,Property8,327141
Object8,Property9,318325
Object8,Property10,494408
Object9,Property1,139598
Object9,Property2,448077
Object9,Property3,169722
Object9,Property4,336910
Object9,Property5,379560
Object9,Property6,206342
Object9,Property7,228625
Object9,Property8,386476
Object9,Property9,443133
Object9,Property10,332331
Object10,Property1,278268
Object10,Property2,171216
Object10,Property3,110278
Object10,Property4,336069
Object10,Property5,473268
Object10,Property6,364972
Object10,Property7,194700
Object10,Property8,115878
Object10,Property9,109131
Object10,Property10,201160
Object11,Property1,146857
Object11,Property2,205352
Object11,Property3,446724
Object11,Property4,108777
Object11,Property5,259229
Object11,Property6,410521
Object11,Property7,364527
Object11,Property8,223822
Object11,Property9,328998
Object11,Property10,250751
Object12,Property1,234555
Object12,Property2,184346
Object12,Property3,479484
Object12,Property4,144389
Object12,Property5,108452
Object12,Property6,296640
Object12,Property7,127835
Object12,Property8,342359
Object12,Property9,338346
Object12,Property10,244006
Object13,Property1,182370
Object13,Property2,354262
Object13,Property3,364130
Object13,Property4,495463
Object13,Property5,347035
Object13,Property6,295421
Object13,Property7,146208
Object13,Property8,352909
Object13,Property9,105192
Object13,Property10,470643
Object14,Property1,394798
Object14,Property2,153477
Object14,Property3,264965
Object14,Property4,448307
Object14,Property5,316437
Object14,Property6,461837
Object14,Property7,303937
Object14,Property8,478339
Object14,Property9,442414
Object14,Property10,320831
Object15,Property1,244943
Object15,Property2,401817
Object15,Property3,115805
Object15,Property4,424643
Object15,Property5,333093
Object15,Property6,371430
Object15,Property7,133086
Object15,Property8,238098
Object15,Property9,182278
Object15,Property10,186085
Object16,Property1,182919
Object16,Property2,447833
Object16,Property3,466580
Object16,Property4,468467
Object16,Property5,472928
Object16,Property6,388677
Object16,Property7,303333
Object16,Property8,373788
Object16,Property9,120091
Object16,Property10,107634
Object17,Property1,113385
Object17,Property2,464973
Object17,Property3,150092
Object17,Property4,118173
Object17,Property5,257619
Object17,Property6,494724
Object17,Property7,242248
Object17,Property8,412631
Object17,Property9,211027
Object17,Property10,194384
Object18,Property1,204100
Object18,Property2,337803
Object18,Property3,455680
Object18,Property4,180488
Object18,Property5,259266
Object18,Property6,478581
Object18,Property7,113755
Object18,Property8,418926
Object18,Property9,187790
Object18,Property10,434004
Object19,Property1,462303
Object19,Property2,234899
Object19,Property3,324000
Object19,Property4,273754
Object19,Property5,196111
Object19,Property6,381347
Object19,Property7,266369
Object19,Property8,383000
Object19,Property9,280266
Object19,Property10,475108
Object20,Property1,342505
Object20,Property2,459652
Object20,Property3,370807
Object20,Property4,273786
Object20,Property5,248072
Object20,Property6,137047
Object20,Property7,475561
Object20,Property8,318829
Object20,Property9,357228
Object20,Property10,286771
Object21,Property1,379368
Object21,Property2,427089
Object21,Property3,176846
Object21,Property4,265739
Object21,Property5,410198
Object21,Property6,459829
Object21,Property7,397640
Object21,Property8,406352
Object21,Property9,137318
Object21,Property10,320192
Object22,Property1,348697
Object22,Property2,419096
Object22,Property3,436298
Object22,Property4,245650
Object22,Property5,206907
Object22,Property6,316627
Object22,Property7,355231
Object22,Property8,430508
Object22,Property9,449867
Object22,Property10,399839
Object23,Property1,439365
Object23,Property2,193060
Object23,Property3,238307
Object23,Property4,261625
Object23,Property5,198927
Object23,Property6,284670
Object23,Property7,189396
Object23,Property8,420547
Object23,Property9,316410
Object23,Property10,367544
Object24,Property1,313471
Object24,Property2,290969
Object24,Property3,389067
Object24,Property4,334513
Object24,Property5,216078
Object24,Property6,349992
Object24,Property7,201607
Object24,Property8,167285
Object24,Property9,330253
Object24,Property10,339853
Object25,Property1,291169
Object25,Property2,211224
Object25,Property3,139140
Object25,Property4,175544
Object25,Property5,361150
Object25,Property6,300419
Object25,Property7,245058
Object25,Property8,389973
Object25,Property9,207151
Object25,Property10,345043
Object26,Property1,254039
Object26,Property2,146133
Object26,Property3,301108
Object26,Property4,459261
Object26,Property5,368214
Object26,Property6,307102
Object26,Property7,173358
Object26,Property8,103746
Object26,Property9,436214
Object26,Property10,132604
Object27,Property1,329848
Object27,Property2,309332
Object27,Property3,495189
Object27,Property4,124918
Object27,Property5,150239
Object27,Property6,137742
Object27,Property7,476058
Object27,Property8,169234
Object27,Property9,453743
Object27,Property10,116794
Object28,Property1,111215
Object28,Property2,244386
Object28,Property3,309086
Object28,Property4,316619
Object28,Property5,280583
Object28,Property6,242310
Object28,Property7,326124
Object28,Property8,218049
Object28,Property9,341209
Object28,Property10,438418
Object29,Property1,230524
Object29,Property2,166947
Object29,Property3,223849
Object29,Property4,198279
Object29,Property5,285975
Object29,Property6,447882
Object29,Property7,310886
Object29,Property8,233369
Object29,Property9,265651
Object29,Property10,388503
Object30,Property1,385449
Object30,Property2,290421
Object30,Property3,166395
Object30,Property4,290972
Object30,Property5,198847
Object30,Property6,253933
Object30,Property7,212463
Object30,Property8,399715
Object30,Property9,174095
Object30,Property10,349236
Object31,Property1,285522
Object31,Property2,121435
Object31,Property3,150947
Object31,Property4,248853
Object31,Property5,230565
Object31,Property6,167094
Object31,Property7,488417
Object31,Property8,119233
Object31,Property9,402863
Object31,Property10,226917
Object32,Property1,446906
Object32,Property2,231801
Object32,Property3,281425
Object32,Property4,438613
Object32,Property5,304543
Object32,Property6,496634
Object32,Property7,198779
Object32,Property8,436036
Object32,Property9,431361
Object32,Property10,138138
Object33,Property1,213845
Object33,Property2,487340
Object33,Property3,155043
Object33,Property4,480656
Object33,Property5,479953
Object33,Property6,378309
Object33,Property7,383839
Object33,Property8,463660
Object33,Property9,182054
Object33,Property10,104407
Object34,Property1,390288
Object34,Property2,238065
Object34,Property3,445962
Object34,Property4,231841
Object34,Property5,492449
Object34,Property6,107730
Object34,Property7,310118
Object34,Property8,473029
Object34,Property9,434752
Object34,Property10,359141
Object35,Property1,348544
Object35,Property2,226489
Object35,Property3,469668
Object35,Property4,283409
Object35,Property5,221108
Object35,Property6,432656
Object35,Property7,302454
Object35,Property8,498834
Object35,Property9,139674
Object35,Property10,216583
Object36,Property1,272884
Object36,Property2,450818
Object36,Property3,440292
Object36,Property4,183569
Object36,Property5,174172
Object36,Property6,256870
Object36,Property7,263500
Object36,Property8,105353
Object36,Property9,467155
Object36,Property10,332101
Object37,Property1,357734
Object37,Property2,374526
Object37,Property3,272378
Object37,Property4,311109
Object37,Property5,383354
Object37,Property6,258683
Object37,Property7,371223
Object37,Property8,158767
Object37,Property9,295197
Object37,Property10,347749
Object38,Property1,297281
Object38,Property2,288031
Object38,Property3,495926
Object38,Property4,328968
Object38,Property5,251419
Object38,Property6,444819
Object38,Property7,483713
Object38,Property8,177960
Object38,Property9,226833
Object38,Property10,399241
Object39,Property1,332867
Object39,Property2,427665
Object39,Property3,161455
Object39,Property4,113718
Object39,Property5,433876
Object39,Property6,385013
Object39,Property7,201052
Object39,Property8,284708
Object39,Property9,253457
Object39,Property10,405373
Object40,Property1,327567
Object40,Property2,416683
Object40,Property3,307476
Object40,Property4,483553
Object40,Property5,483527
Object40,Property6,196044
Object40,Property7,460758
Object40,Property8,473148
Object40,Property9,191829
Object40,Property10,197451
Object41,Property1,244151
Object41,Property2,318095
Object41,Property3,436834
Object41,Property4,265607
Object41,Property5,498516
Object41,Property6,112622
Object41,Property7,208264
Object41,Property8,388371
Object41,Property9,434716
Object41,Property10,306765
Object42,Property1,106931
Object42,Property2,486671
Object42,Property3,436025
Object42,Property4,187822
Object42,Property5,354314
Object42,Property6,268312
Object42,Property7,476680
Object42,Property8,328622
Object42,Property9,463066
Object42,Property10,429128
Object43,Property1,229868
Object43,Property2,400212
Object43,Property3,110059
Object43,Property4,371217
Object43,Property5,338833
Object43,Property6,307879
Object43,Property7,210371
Object43,Property8,313979
Object43,Property9,497896
Object43,Property10,369944
Object44,Property1,239068
Object44,Property2,447973
Object44,Property3,256830
Object44,Property4,193000
Object44,Property5,207609
Object44,Property6,218825
Object44,Property7,205296
Object44,Property8,357835
Object44,Property9,337717
Object44,Property10,427787
Object45,Property1,318892
Object45,Property2,214191
Object45,Property3,454755
Object45,Property4,191498
Object45,Property5,445018
Object45,Property6,219547
Object45,Property7,348253
Object45,Property8,281136
Object45,Property9,121194
Object45,Property10,159069
Object46,Property1,400724
Object46,Property2,263475
Object46,Property3,260436
Object46,Property4,140351
Object46,Property5,463845
Object46,Property6,471360
Object46,Property7,297348
Object46,Property8,393900
Object46,Property9,403034
Object46,Property10,435971
Object47,Property1,337138
Object47,Property2,314326
Object47,Property3,240781
Object47,Property4,283002
Object47,Property5,498735
Object47,Property6,393270
Object47,Property7,406049
Object47,Property8,197047
Object47,Property9,496640
Object47,Property10,359252
Object48,Property1,139422
Object48,Property2,261815
Object48,Property3,170244
Object48,Property4,211129
Object48,Property5,458868
Object48,Property6,478491
Object48,Property7,154859
Object48,Property8,227908
Object48,Property9,271762
Object48,Property10,452002
Object49,Property1,255557
Object49,Property2,486637
Object49,Property3,115610
Object49,Property4,214930
Object49,Property5,278681
Object49,Property6,187710
Object49,Property7,220183
Object49,Property8,316639
Object49,Property9,191624
Object49,Property10,183347
Object50,Property1,189862
Object50,Property2,279491
Object50,Property3,137060
Object50,Property4,138915
Object50,Property5,344670
Object50,Property6,464568
Object50,Property7,215323
Object50,Property8,375698
Object50,Property9,207108
Object50,Property10,191954
Object51,Property1,154342
Object51,Property2,275805
Object51,Property3,494180
Object51,Property4,141966
Object51,Property5,445171
Object51,Property6,204562
Object51,Property7,228669
Object51,Property8,362458
Object51,Property9,494821
Object51,Property10,373389
Object52,Property1,300632
Object52,Property2,489916
Object52,Property3,480717
Object52,Property4,395502
Object52,Property5,101862
Object52,Property6,192582
Object52,Property7,150687
Object52,Property8,116186
Object52,Property9,297984
Object52,Property10,300206
Object53,Property1,131757
Object53,Property2,363919
Object53,Property3,160833
Object53,Property4,262413
